folder_name,drive_url
All Dictionary Videos,https://drive.google.com/drive/folders/1U-Pr4r1-cupgNOOq9NH_uTsQnPSVEKco
A,https://drive.google.com/drive/folders/1nkI7lddegUWDvmGsmn68QkB5ikp5_3kt?usp=drive_link
B,https://drive.google.com/drive/folders/1S-G5qoWth0aI9fLzKs8Myv2LyMrq8jUh?usp=drive_link
C,https://drive.google.com/drive/folders/1iZvUpDh5gtzoRmQKWAVfCOe8iWEjzS2S?usp=drive_link
D,https://drive.google.com/drive/folders/1aQywSGpfHXOdM1pfs2rfqU3Y_ScLXRjh?usp=drive_link
E,https://drive.google.com/drive/folders/13pJC91P8ligEXJh7ZcVbdOdBv8OM7ugw?usp=drive_link
F,https://drive.google.com/drive/folders/1uwjIG-hYqxYTURtWMEpmCc9NzV13uz-S?usp=drive_link
G,https://drive.google.com/drive/folders/1_jxELuDPMQb67NM6woqcdcn5QWd2mVeC?usp=drive_link
H,https://drive.google.com/drive/folders/1BL9C7zyFAcRQg-DsM-CiIjsoFMbSvTCt?usp=drive_link
I,https://drive.google.com/drive/folders/1K6eUYZLdCRh21Ecxx9wcsAJ3HP7jd4CI?usp=drive_link
